account_id,year_month_won,upgraded_boolean,age_in_months,pre_upgrade_plan,post_upgrade_plan,upgrade_levels,num_agents,mrr_pre_upgrade,mrr_post_upgrade,mrr_delta,num_trig,num_automations,num_tags,num_macros,num_groups,num_orgs,num_fields,enabled_HC,enabled_redaction,enabled_insights,enabled_talk,enabled_widget,enabled_csat,enabled_hours,enabled_slas,enabled_HCcode,enabled_community,num_apps,num_tix_solved_last60d
1211018,201609,0,2,Essential,n/a,0,1,5,5,0,6,1,2,4,1,1,0,1,0,NULL,0,0,0,0,0,0,1,0,0
1211029,201610,0,1,Professional,n/a,0,1,177,177,0,7,1,2,4,1,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,0
1211049,201611,0,0,Professional,n/a,0,NULL,64.86,64.86,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
1211110,201609,0,2,Essential,n/a,0,5,45,45,0,6,1,2,4,1,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,0
1211174,201609,0,2,Enterprise,n/a,0,1,495,495,0,7,1,2,4,1,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,0
1211184,201610,0,1,Team,n/a,0,4,76,76,0,2,1,6,4,1,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,13
1211207,201610,0,1,Team,n/a,0,1,25,25,0,7,1,2,4,1,1,0,1,0,NULL,0,0,0,0,0,0,1,0,0
1211243,201610,0,1,Essential,n/a,0,2,5,5,0,7,1,2,4,1,1,0,1,0,NULL,0,1,0,0,0,0,1,2,NULL
1211280,201610,0,1,Essential,n/a,0,NULL,9.89,9.89,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
1211324,201609,0,2,Team,n/a,0,1,25,25,0,7,1,4,4,1,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,NULL
1211359,201610,0,1,Team,n/a,0,2,150,150,0,7,1,5,4,1,1,1,0,0,NULL,1,1,0,0,0,NULL,NULL,2,14
1211363,201610,0,1,Professional,n/a,0,2,118,118,0,7,1,2,4,1,2,0,1,0,NULL,0,1,0,0,0,0,1,1,1
1211417,201610,0,1,Professional,n/a,0,9,1829,1829,0,7,1,6,4,3,1,0,0,0,NULL,0,1,0,1,0,0,1,1,18
1211428,201610,0,1,Essential,n/a,0,1,15,15,0,7,1,2,4,1,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,1
