account_id,year_month_run,year_month_won,year_month_upgraded,upgraded_boolean,age_in_months,pre_upgrade_plan,post_upgrade_plan,upgrade_levels,num_agents,mrr_delta,num_trig,num_automations,num_tags,num_macros,num_groups,num_orgs,num_fields,enabled_HC,enabled_redaction,enabled_insights,enabled_talk,enabled_widget,enabled_csat,enabled_hours,enabled_slas,enabled_HCcode,enabled_community,num_apps,num_tix_solved
851376,201604,201512,201604,1,4,Team,Professional,1,6,82,6,2,1272,35,1,2,0,1,0,NULL,1,1,0,0,0,0,1,2,37092
851497,201606,201512,201606,1,6,Professional,Enterprise,1,4,264,8,1,3921,4,1,1,0,1,0,1,0,0,1,0,0,1,NULL,0,945
851657,201605,201511,201605,1,6,Plus,Enterprise,1,15,450,24,6,928,30,5,2,2,0,0,1,0,1,1,1,0,NULL,NULL,1,507
851751,201601,201512,201601,1,1,Essential,Team,1,4,39,5,1,4,4,5,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,25
851827,201611,201512,201611,1,11,Essential,Team,1,5,NULL,7,1,1,4,4,24,0,0,0,NULL,0,0,0,0,0,0,1,0,1
852164,201608,201512,201608,1,8,Team,Professional,1,3,0,5,1,11231,51,2,1,6,1,0,NULL,1,1,0,0,0,0,1,1,9054
852189,201609,201601,201609,1,8,Professional,Enterprise,1,1,66,7,1,1249,4,1,1,4,1,0,1,0,1,0,0,0,1,1,0,218
852246,201602,201512,201602,1,2,Professional,Enterprise,1,6,-104,10,1,5989,23,2,5,0,1,0,1,0,1,0,0,0,1,NULL,1,3266
852258,201606,201602,201606,1,4,Essential,Professional,2,6,300,6,1,391,43,2,1,0,0,0,NULL,0,1,0,0,0,NULL,NULL,0,814
852344,201603,201512,201603,1,3,Essential,Team,1,3,23,5,1,575,4,1,1,0,0,0,NULL,0,0,0,1,0,NULL,NULL,0,325
852528,201611,201603,201611,1,8,Essential,Team,1,2,47,6,1,3,5,1,1,1,0,0,NULL,1,1,0,0,0,NULL,NULL,0,0
852587,201601,201512,201601,1,1,Team,Professional,1,3,102,5,4,182,4,2,1,0,1,0,NULL,0,0,0,0,0,1,NULL,0,21
853060,201607,201511,201607,1,8,Regular,Professional,1,6,-135,8,4,534,10,2,2,11,1,0,1,1,0,1,0,0,1,1,14,1960
853105,201602,201511,201602,1,3,Essential,Team,1,4,14,5,1,65,4,1,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,0
853199,201609,201512,201609,1,9,Professional,Enterprise,1,1,7,8,1,0,4,1,2,0,1,0,NULL,0,1,0,0,0,1,1,1,328
853676,201601,201511,201601,1,2,Essential,Team,1,3,48,5,1,18,4,1,1,1,1,0,NULL,0,1,0,0,0,0,NULL,0,1
853722,201608,201512,201608,1,8,Essential,Team,1,2,53,5,1,3,4,1,1,0,0,0,NULL,0,1,0,0,0,NULL,NULL,1,1112
853737,201601,201512,201601,1,1,Professional,Enterprise,1,3,323,8,1,485,4,3,18,0,1,0,NULL,0,1,0,0,0,0,NULL,1,207
853791,201609,201512,201609,1,9,Team,Professional,1,4,150,6,1,3,4,1,2,1,1,0,NULL,0,1,0,0,0,0,1,0,0
854046,201608,201512,201608,1,8,Essential,Professional,2,4,80,5,1,1759,8,6,50,0,0,0,NULL,1,1,0,1,0,0,1,1,3052
854124,201603,201512,201603,1,3,Essential,Team,1,2,32,5,1,12,4,1,1,0,1,0,NULL,0,1,0,0,0,0,1,3,591
854276,201601,201512,201601,1,1,Essential,Team,1,6,-4,5,1,141,4,1,2,0,0,0,NULL,0,1,0,0,0,NULL,NULL,1,16
854609,201601,201512,201601,1,1,Essential,Team,1,2,32,5,1,109,4,1,1,0,0,0,NULL,1,1,0,0,0,NULL,NULL,4,144
855112,201609,201511,201609,1,10,Starter,Team,1,3,73,4,0,0,4,3,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,15
855178,201601,201512,201601,1,1,Essential,Professional,2,3,1,5,1,36,4,3,1,0,1,0,NULL,0,1,0,1,0,0,NULL,2,252
855191,201607,201512,201607,1,7,Essential,Team,1,1,16,5,1,357,32,1,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,285
855205,201601,201512,201601,1,1,Team,Enterprise,2,3,236,7,4,726,35,1,1,0,0,0,NULL,0,1,0,1,0,0,NULL,8,82120
855415,201601,201511,201601,1,2,Plus,Enterprise,1,7,392,3,1,713,4,1,1,2,0,0,1,0,0,0,1,0,NULL,NULL,0,870
855454,201604,201512,201604,1,4,Essential,Team,1,5,32,6,1,0,4,3,1,0,0,0,NULL,0,1,0,0,0,NULL,NULL,0,5
855463,201603,201512,201603,1,3,Team,Professional,1,2,109,7,1,48,6,1,3,3,1,0,NULL,0,1,0,0,0,1,1,1,5
855494,201611,201512,201611,1,11,Team,Professional,1,3,102,7,1,9526,6,2,2,0,1,0,NULL,0,0,0,0,0,0,1,0,4107
855859,201603,201512,201603,1,3,Essential,Team,1,2,11,5,1,12,4,2,1,0,0,0,NULL,0,1,0,0,0,NULL,NULL,1,0
855870,201608,201512,201608,1,8,Essential,Team,1,1,16,5,1,41,4,1,1,0,0,0,NULL,0,1,0,0,0,0,1,0,59
856037,201610,201511,201610,1,11,Essential,Professional,2,3,0,5,1,585,5,1,1,4,0,0,NULL,0,1,0,0,0,1,1,1,3052
856046,201611,201511,201611,1,12,Team,Professional,1,5,165,22,3,2264,14,4,1,4,1,0,NULL,0,1,0,0,0,0,1,2,704
856431,201609,201512,201609,1,9,Professional,Enterprise,1,4,264,7,1,12686,47,1,2,4,1,0,1,1,0,0,1,0,0,1,3,4143
856571,201602,201512,201602,1,2,Essential,Team,1,6,55,5,1,461,4,1,1,6,0,0,NULL,0,1,0,1,0,0,NULL,1,636
856863,201608,201512,201608,1,8,Essential,Team,1,1,16,5,1,0,44,1,1,0,0,0,NULL,0,1,0,0,0,NULL,NULL,0,0
856903,201606,201511,201606,1,7,Essential,Team,1,1,14,5,1,0,4,1,1,0,1,0,NULL,0,1,0,0,0,0,1,0,0
857042,201608,201512,201608,1,8,Team,Professional,1,5,195,7,1,283,4,1,3,2,1,0,NULL,0,1,0,0,0,1,1,2,50
857058,201605,201512,201605,1,5,Professional,Enterprise,1,13,353,8,1,32,4,23,5,14,1,0,NULL,0,0,0,0,0,1,1,1,6
857426,201608,201511,201608,1,9,Team,Professional,1,10,45,13,1,1936,2,5,1,4,0,0,NULL,0,1,0,0,0,0,1,1,553
857616,201611,201601,201611,1,10,Essential,Professional,2,5,24,5,1,1,10,1,1,0,0,0,NULL,0,1,0,0,0,NULL,NULL,1,41
857708,201601,201512,201601,1,1,Essential,Enterprise,3,1,569,5,1,39,4,5,1,5,0,0,NULL,0,0,0,0,0,0,NULL,0,1
857715,201601,201511,201601,1,2,Essential,Professional,2,1,168,5,1,2,4,1,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,NULL
857783,201606,201512,201606,1,6,Team,Professional,1,4,96,6,1,8,4,3,3,0,0,0,NULL,0,1,0,0,0,NULL,NULL,2,998
858009,201601,201512,201601,1,1,Essential,Team,1,3,48,5,1,2,4,1,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,2
858028,201608,201511,201608,1,9,Professional,Enterprise,1,7,462,10,4,1717,4,5,2,24,1,0,1,1,1,1,1,0,0,1,2,6534
858096,201604,201511,201604,1,5,Essential,Team,1,2,9,5,1,2,4,1,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,0
858302,201601,201512,201601,1,1,Essential,Team,1,1,14,5,1,2,4,1,1,0,1,0,NULL,0,1,0,0,0,1,NULL,0,NULL
858406,201608,201512,201608,1,8,Essential,Team,1,5,80,6,1,10,4,1,28,2,0,0,NULL,0,1,0,0,0,0,1,1,73
858478,201610,201512,201610,1,10,Team,Professional,1,2,143,3,2,12,4,2,2,1,0,0,NULL,1,1,0,0,0,NULL,NULL,2,936
858529,201606,201512,201606,1,6,Professional,Enterprise,1,20,1835,30,5,26731,26,17,36,76,1,0,1,0,1,1,1,0,1,1,13,624312
858636,201601,201512,201601,1,1,Team,Professional,1,1,30,4,1,1222,14,1,1,6,1,0,NULL,0,1,0,1,0,1,NULL,1,259
858645,201603,201512,201603,1,3,Essential,Team,1,3,23,5,1,47,4,1,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,31
858676,201604,201512,201604,1,4,Team,Professional,1,5,150,11,4,2562,14,2,157,4,1,0,1,0,1,1,1,0,1,1,3,630
858830,201608,201512,201608,1,8,Essential,Team,1,2,16,5,1,165,4,1,1,1,1,0,NULL,0,1,0,0,0,0,1,1,222
858861,201601,201512,201601,1,1,Essential,Team,1,1,16,5,1,435,4,1,1,0,0,0,NULL,0,1,0,0,0,0,NULL,0,70
858932,201603,201511,201603,1,4,Professional,Enterprise,1,7,820,11,2,1030,10,5,8,7,1,0,1,0,1,0,1,0,1,1,3,372
859451,201605,201601,201605,1,4,Essential,Team,1,2,32,6,1,11,4,1,1,0,0,0,NULL,0,1,0,1,0,NULL,NULL,0,33
859851,201605,201512,201605,1,5,Essential,Team,1,2,9,5,1,12,4,1,1,0,0,0,NULL,0,1,0,0,0,NULL,NULL,0,1
859864,201607,201604,201607,1,3,Essential,Team,1,1,14,6,1,5,4,1,1,0,1,0,NULL,0,0,0,0,0,0,1,1,6
859890,201606,201602,201606,1,4,Professional,Enterprise,1,1,0,2,5,403,11,1,8,2,1,0,1,1,1,1,1,0,1,1,3,2748
859925,201607,201512,201607,1,7,Professional,Enterprise,1,3,220,11,3,1121,40,4,5,4,1,0,1,0,1,0,0,0,0,1,0,2379
859958,201603,201512,201603,1,3,Team,Professional,1,5,268,8,3,2584,8,10,1,0,0,0,NULL,0,1,0,0,0,NULL,NULL,5,8920
860017,201604,201602,201604,1,2,Essential,Team,1,7,112,8,1,2,4,1,1,0,0,0,NULL,0,1,0,1,0,NULL,NULL,1,65
860036,201601,201512,201601,1,1,Essential,Team,1,4,64,5,1,14,4,1,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,13
860264,201601,201512,201601,1,1,Essential,Team,1,5,-20,5,1,45,4,1,1,2,1,0,NULL,0,1,0,0,0,0,NULL,0,36
860810,201601,201512,201601,1,1,Team,Professional,1,3,90,9,2,240,4,1,1,0,1,0,NULL,0,0,0,0,0,1,NULL,0,75
860898,201604,201512,201604,1,4,Team,Professional,1,1,34,8,1,4,4,1,1,0,1,0,NULL,0,1,0,0,0,1,1,2,4
861027,201611,201512,201611,1,11,Essential,Team,1,2,47,5,1,267,7,1,1,0,0,0,NULL,0,1,0,0,0,0,1,1,98
861029,201606,201512,201606,1,6,Team,Professional,1,4,169,2,3,35,14,1,2,6,1,0,NULL,1,0,0,1,0,0,1,5,7595
861179,201610,201512,201610,1,10,Team,Professional,1,4,120,7,1,2120,4,1,1,2,1,0,NULL,0,0,0,0,0,0,1,1,242
861255,201606,201512,201606,1,6,Essential,Team,1,1,16,7,1,33,4,1,1,0,0,0,NULL,0,1,0,0,0,NULL,NULL,1,77
861364,201601,201512,201601,1,1,Essential,Team,1,5,80,5,1,449,4,1,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,1085
861491,201601,201512,201601,1,1,Team,Professional,1,1,34,7,1,2,4,1,1,0,1,0,NULL,0,1,0,0,0,1,NULL,0,NULL
861601,201610,201511,201610,1,11,Essential,Team,1,3,62,6,1,64,4,1,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,4
861673,201602,201511,201602,1,3,Professional,Enterprise,1,1,66,7,1,2,4,1,3,0,0,0,NULL,0,0,0,0,0,1,NULL,0,1
861777,201605,201512,201605,1,5,Essential,Professional,2,6,-1,7,1,22,4,1,1,2,1,0,NULL,0,1,0,0,0,0,1,1,12
861794,201605,201512,201605,1,5,Essential,Team,1,3,23,7,1,2,5,1,1,0,1,0,NULL,0,1,0,0,0,0,1,0,83
861807,201611,201512,201611,1,11,Essential,Team,1,2,28,5,1,2,33,1,1,0,0,0,NULL,0,1,0,0,0,0,1,0,954
861945,201601,201511,201601,1,2,Team,Professional,1,2,68,7,1,2,4,1,1,0,0,0,NULL,0,0,0,0,0,0,NULL,1,NULL
861957,201603,201512,201603,1,3,Essential,Team,1,1,14,5,1,52,3,2,1,0,0,0,NULL,0,0,0,0,0,0,1,0,698
862085,201603,201511,201603,1,4,Team,Professional,1,1,34,7,1,5,4,2,1,16,0,0,NULL,0,0,0,0,0,0,1,0,0
862250,201603,201511,201603,1,4,Essential,Team,1,2,11,5,2,61,4,1,1,0,0,0,NULL,0,1,0,0,0,0,1,1,6122
862442,201611,201512,201611,1,11,Essential,Professional,2,7,-22,5,2,1811,4,1,1,2,1,0,NULL,0,1,0,0,0,0,1,1,988
862445,201601,201512,201601,1,1,Team,Professional,1,1,178,9,1,2,4,2,9,2,1,0,NULL,0,1,0,0,0,0,NULL,5,5
862535,201601,201512,201601,1,1,Essential,Team,1,1,16,5,1,59,4,1,24,3,0,0,NULL,0,0,0,0,0,NULL,NULL,0,5
862547,201601,201512,201601,1,1,Essential,Team,1,4,59,5,1,15,4,1,1,0,0,0,NULL,0,1,0,0,0,NULL,NULL,0,39
862702,201603,201512,201603,1,3,Essential,Team,1,2,10,6,1,2,4,1,1,0,1,0,NULL,1,1,0,0,0,0,1,0,93
863129,201606,201512,201606,1,6,Team,Professional,1,2,67,8,1,129,0,1,1,2,1,0,NULL,0,0,0,1,0,1,1,0,2
863164,201605,201601,201605,1,4,Professional,Enterprise,1,19,760,22,1,5403,4,16,4,16,1,0,NULL,0,1,0,0,0,0,1,7,2786
863282,201601,201512,201601,1,1,Essential,Team,1,2,32,5,1,23,4,1,7,0,0,0,NULL,0,1,0,0,0,NULL,NULL,0,15
863284,201601,201512,201601,1,1,Professional,Enterprise,1,8,1093,10,1,4,4,5,4,16,0,0,1,0,0,0,0,0,NULL,NULL,1,24
863388,201603,201512,201603,1,3,Essential,Team,1,3,48,5,1,7,4,1,1,0,0,0,NULL,0,1,0,0,0,NULL,NULL,0,12
863479,201608,201512,201608,1,8,Essential,Team,1,6,0,5,1,21,4,2,1,0,0,0,NULL,1,1,0,1,0,0,1,1,7164
863829,201602,201512,201602,1,2,Team,Professional,1,12,408,7,2,38,4,1,4,0,1,0,NULL,0,0,0,0,0,0,NULL,1,42
863932,201601,201512,201601,1,1,Essential,Team,1,3,46,5,1,5,5,1,1,1,1,0,NULL,0,0,0,0,0,0,NULL,0,36
864125,201608,201601,201608,1,7,Essential,Professional,2,1,44,5,1,2,6,1,1,0,0,0,NULL,0,1,0,0,0,0,1,0,38
864169,201606,201512,201606,1,6,Essential,Team,1,1,16,6,2,399,5,1,1,0,1,0,NULL,0,1,0,0,0,0,1,3,348
864719,201607,201512,201607,1,7,Team,Professional,1,2,87,16,0,404,17,1,3,9,0,0,NULL,0,1,0,0,0,0,1,2,575
864933,201609,201512,201609,1,9,Essential,Team,1,2,9,5,1,6,4,1,1,0,1,0,NULL,0,1,0,1,0,0,1,0,190
864971,201602,201512,201602,1,2,Essential,Team,1,1,14,5,1,3,4,1,1,11,0,0,NULL,1,1,0,1,0,0,NULL,1,21
865203,201602,201601,201602,1,1,Team,Professional,1,1,140,7,1,5,4,8,1,1,1,0,NULL,0,1,0,0,0,0,NULL,5,NULL
865342,201604,201512,201604,1,4,Essential,Team,1,6,46,5,1,424,4,1,1,5,0,0,NULL,0,1,0,0,0,NULL,NULL,1,81
865386,201608,201601,201608,1,7,Team,Professional,1,1,34,5,1,367,8,1,5,9,1,0,NULL,0,1,0,0,0,0,1,1,90
865426,201608,201512,201608,1,8,Essential,Professional,2,3,34,5,1,32,4,1,1,0,1,0,NULL,1,1,0,0,0,0,1,1,23
865739,201611,201512,201611,1,11,Team,Professional,1,4,77,2,1,140,4,1,1,0,1,0,NULL,0,1,0,0,0,1,1,3,45
866325,201609,201601,201609,1,8,Team,Professional,1,10,248,7,2,232,4,3,2,2,1,0,NULL,0,1,0,1,0,1,1,2,144
866352,201601,201512,201601,1,1,Essential,Team,1,1,16,5,1,2,4,1,1,0,1,0,NULL,1,0,0,0,0,0,NULL,0,2
866548,201602,201511,201602,1,3,Essential,Team,1,3,1,5,1,19,4,1,1,0,1,0,NULL,0,1,0,0,0,0,1,1,198
866556,201601,201512,201601,1,1,Essential,Team,1,1,14,5,1,5,7,1,13,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,49
866948,201603,201601,201603,1,2,Essential,Team,1,3,52,5,1,7,4,1,1,0,1,0,NULL,0,1,0,0,0,0,1,1,60
866977,201601,201512,201601,1,1,Plus,Enterprise,1,3,168,11,1,54,6,42,6,7,1,0,NULL,0,0,0,0,0,0,NULL,2,4
866992,201603,201512,201603,1,3,Team,Professional,1,2,43,7,1,15,5,2,1,2,1,0,NULL,0,1,0,0,0,1,1,3,12
867075,201611,201601,201611,1,10,Team,Professional,1,2,68,16,1,586,22,2,1,9,0,0,NULL,0,1,0,1,0,0,1,7,1170
