ID,ID,Address,Latitude,Longitude,SalePrice,IsAStudio,Beds,Baths,Size,SizeUnit,LotSize,LotSizeUnit,BuiltInYear,YearOfSale,MonthOfSale,DayOfSale,WeekDayOfSale
55,15072153,"1353 Green St, San Francisco, CA",37797685,-122421335,2.3,False,2.0,2.0,1764.0,sqft,,,1941.0,2015,11,24,<built-in method weekday of Timestamp object at 0x109980ad0>
56,15072263,"1795 Green St, San Francisco, CA",37796780,-122428519,2.5,False,3.0,2.0,1647.0,sqft,,,1908.0,2015,11,20,<built-in method weekday of Timestamp object at 0x109980a50>
57,15072504,"2660 Scott St, San Francisco, CA",37794473,-122439703,13.1,False,7.0,8.0,9190.0,sqft,5623.0,sqft,1908.0,2015,12,8,<built-in method weekday of Timestamp object at 0x1099809d0>
58,15072510,"2535 Vallejo St, San Francisco, CA",37794444,-122438979,5.6,False,,4.0,4065.0,sqft,3781.0,sqft,1908.0,2015,11,23,<built-in method weekday of Timestamp object at 0x109980950>
59,15072951,"1770 Pacific Ave APT 103, San Francisco, CA",37794927,-122424508,1.76,False,2.0,2.0,1500.0,sqft,,,1902.0,2015,11,25,<built-in method weekday of Timestamp object at 0x1099808d0>
60,15072997,"1896 Pacific Ave APT 802, San Francisco, CA",37794706,-122426347,0.25,False,2.0,2.5,2272.0,sqft,,,1924.0,2015,12,15,<built-in method weekday of Timestamp object at 0x109980850>
61,15073090,"2002 Pacific Ave APT 4, San Francisco, CA",37794429,-122428513,4.2,False,3.0,3.5,3291.0,sqft,,,1961.0,2016,1,20,<built-in method weekday of Timestamp object at 0x1099807d0>
62,15073657,"1895 Pacific Ave APT 506, San Francisco, CA",37794168,-122426243,0.975,False,1.0,1.0,1165.0,sqft,,,1931.0,2015,11,20,<built-in method weekday of Timestamp object at 0x109980750>
63,15074158,"1945 Washington St APT 411, San Francisco, CA",37792472,-122425281,0.665,False,1.0,1.0,653.0,sqft,,,1987.0,2015,12,16,<built-in method weekday of Timestamp object at 0x1099806d0>
64,15074306,"1950 Gough St APT 306, San Francisco, CA",37791558,-122425677,1.15,False,1.0,1.0,1000.0,sqft,,,1926.0,2015,12,21,<built-in method weekday of Timestamp object at 0x109980650>
65,15074558,"2684-2686 Sacramento St, San Francisco, CA",37789686,-122437098,2.71,False,,,2840.0,sqft,2674.0,sqft,1900.0,2015,12,8,<built-in method weekday of Timestamp object at 0x1099805d0>
66,15074647,"2619-2621 Sacramento St, San Francisco, CA",37789373,-122436057,2.9,False,7.0,5.0,2930.0,sqft,2038.0,sqft,1900.0,2015,12,3,<built-in method weekday of Timestamp object at 0x109980550>
67,15075139,"2215 California St, San Francisco, CA",37788944,-122431099,5.05,False,5.0,6.0,3485.0,sqft,3454.0,sqft,1900.0,2015,12,11,<built-in method weekday of Timestamp object at 0x1099804d0>
68,15075278,"2440 Bush St # C, San Francisco, CA",37786788,-122437531,2.0,False,3.0,2.5,1810.0,sqft,,,1985.0,2015,11,16,<built-in method weekday of Timestamp object at 0x109980450>
69,15075410,"2015 Pine St # A, San Francisco, CA",37788219,-122429286,0.795,False,1.0,1.0,708.0,sqft,,,1900.0,2015,12,1,<built-in method weekday of Timestamp object at 0x1099803d0>
70,15075714,"1880 Steiner St APT 101, San Francisco, CA",37786575,-122434720,1.35,False,2.0,3.0,1332.0,sqft,,,1999.0,2015,12,22,<built-in method weekday of Timestamp object at 0x109980350>
71,15076120,"2075 Sutter St APT 507, San Francisco, CA",37785647,-122434462,1.31,False,2.0,2.0,1084.0,sqft,,,1992.0,2015,12,4,<built-in method weekday of Timestamp object at 0x1099802d0>
72,15076156,"1533 Sutter St, San Francisco, CA",37786658,-122426481,5.53,False,6.0,7.5,7375.0,sqft,2748.0,sqft,1890.0,2015,11,12,<built-in method weekday of Timestamp object at 0x109980250>
73,15076294,"1450 Post St APT 1006, San Francisco, CA",37786361,-122425831,0.17,False,,,545.0,sqft,,,1992.0,2015,11,16,<built-in method weekday of Timestamp object at 0x1099801d0>
74,15076310,"1450 Post St APT 1108, San Francisco, CA",37786361,-122425831,0.399,False,1.0,1.0,595.0,sqft,,,1992.0,2015,11,24,<built-in method weekday of Timestamp object at 0x109980150>
75,15076450,"1483 Sutter St APT 1102, San Francisco, CA",37786750,-122424235,0.69,False,1.0,1.0,650.0,sqft,,,1993.0,2015,11,19,<built-in method weekday of Timestamp object at 0x1099800d0>
76,15076699,"1 Daniel Burnham Ct APT 1202, San Francisco, CA",37786755,-122422500,0.795,False,1.0,1.0,772.0,sqft,,,1988.0,2015,12,1,<built-in method weekday of Timestamp object at 0x109980050>
77,15076711,"1 Daniel Burnham Ct APT 1404, San Francisco, CA",37786755,-122422500,0.975,False,2.0,2.0,1009.0,sqft,,,1988.0,2015,12,11,<built-in method weekday of Timestamp object at 0x10997ff50>
78,15076978,"66 Cleary Ct APT 1408, San Francisco, CA",37784298,-122427058,0.895,False,2.0,2.0,1106.0,sqft,,,1963.0,2015,12,21,<built-in method weekday of Timestamp object at 0x10997fed0>
79,15077111,"1200 Gough St APT 22B, San Francisco, CA",37784820,-122423994,0.65,True,,1.0,550.0,sqft,,,1966.0,2016,1,29,<built-in method weekday of Timestamp object at 0x10997fe50>
80,15077403,"1310 Scott St # 40, San Francisco, CA",37782280,-122436820,0.958,False,3.0,2.0,1270.0,sqft,,,1986.0,2015,12,23,<built-in method weekday of Timestamp object at 0x10997fdd0>
